"field_name","field_group","source","retrieval_required","llm_required","lov_validation_required","uom_normalization_required","deterministic_rules_can_generate","character_limit","validation_requirements","notes_from_supplied_files_only"
"ATTRIBUTE_VALUE 3","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 3","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 4","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 4","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 4","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 5","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 5","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 5","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 6","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 6","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 6","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 7","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 7","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 7","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 8","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 8","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 8","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 9","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 9","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 9","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 10","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 10","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 10","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 11","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 11","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 11","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 12","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 12","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 12","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 13","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 13","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 13","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 14","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 14","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 14","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 15","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Excerpt labels 1-15: Series, Model, Number of Wash Cycles, Voltage Rating, Amperage Rating, Mounting Type, Plug Type, Size, Depth With Door Open, Minimum Height, Maximum Height, Sound Level, Material, Color, Additional Information. Labels are present even when value is empty (Model, Plug Type)."
"ATTRIBUTE_VALUE 15","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Excerpt empty values occur with non-empty labels (Model; Plug Type; Number of Wash Cycles on Whirlpool; Color on Frigidaire; Maximum Height on Whirlpool). Size embeds UOM in the value rather than ATTRIBUTE_UOM 8."
"ATTRIBUTE_UOM 15","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Excerpt UOMs seen: V, A, in, dBA. Empty when value empty or when UOM is embedded in value."
"ATTRIBUTE_LABEL 16","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 16","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
"ATTRIBUTE_UOM 16","Attributes","Unilog Master UOM standards (described, not supplied): about 500 approved abbreviations across 89 measurement types; only permitted way to write a unit anywhere in output.","No","No","No","Yes","Yes: lookup to approved capture form (file not supplied).","Not specified in supplied files","Must be an approved UOM abbreviation. Space between number and unit applies to combined strings (ground truth.docx), not necessarily to this split column.","Empty on both excerpt rows."
"ATTRIBUTE_LABEL 17","Attributes","Unicat LOV: which attributes apply to a classpath; sequence/filter flags described. Files not supplied. Excerpt labels 1-15 identical on both dishwasher rows; 16-50 empty.","No","No","Yes (attribute labels for the classpath; LOV file not supplied)","No","Yes if LOV loaded: emit labels for classpath in LOV sequence. File not supplied.","Not specified in supplied files","Label must be an allowed attribute for the classpath; Unicat LOV has a normalised label column (described).","Empty on both excerpt rows."
"ATTRIBUTE_VALUE 17","Attributes","Extraction plus manufacturer enrichment. Values must come from LOV; normalised values required (ground truth.docx). Inch measures use Decimal_Fraction.xlsx (described).","Yes when not present on raw Part_Desc","Not mandated. Extraction is a named pipeline step; no LLM requirement stated.","Yes","If the value embeds units (for example Size 24 in W x 24-1/4 in D), UOM rules apply. Split numeric+UOM fields store the number in VALUE.","Partial: LOV membership check; synonym mapping described for fittings (file not supplied); fraction lookup described (file not supplied).","Not specified in supplied files","Must be in Unicat LOV permitted/normalised values for that classpath+label (described). Inch decimals convert via Decimal_Fraction.xlsx (1/64 to 63/64) and mixed numbers like 50.25 in -> 50-1/4 in (ground truth.docx). Do not invent values.","Empty on both excerpt rows."
